2019-11-18 14:10:59.818 [main] DEBUG a01166101.db.Database - Loading database properties from db.properties
2019-11-18 14:10:59.825 [main] DEBUG a01166101.db.Database - com.microsoft.sqlserver.jdbc.SQLServerDriver
2019-11-18 14:11:00.997 [main] DEBUG a01166101.db.Database - Database connected
2019-11-18 14:11:01.471 [main] DEBUG a01166101.db.Database - Found the target table named: A01166101_Customers
2019-11-18 14:11:01.485 [main] DEBUG a01166101.data.customer.CustomerDao - SELECT id FROM A01166101_Customers
2019-11-18 14:11:01.498 [main] DEBUG a01166101.data.customer.CustomerDao - Loaded 98 customer IDs from the database
2019-11-18 14:11:01.499 [main] DEBUG a01166101.db.Database - Loading database properties from db.properties
2019-11-18 14:11:01.565 [main] DEBUG a01166101.db.Database - Found the target table named: A01166101_Books
2019-11-18 14:11:01.571 [main] DEBUG a01166101.data.book.BookDao - SELECT id FROM A01166101_Books
2019-11-18 14:11:01.587 [main] DEBUG a01166101.data.book.BookDao - Loaded 499 book IDs from the database
2019-11-18 14:11:01.590 [main] DEBUG a01166101.db.Database - Loading database properties from db.properties
2019-11-18 14:11:01.653 [main] DEBUG a01166101.db.Database - Found the target table named: A01166101_Purchases
2019-11-18 14:11:19.813 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 4652
2019-11-18 14:11:19.823 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 4743
2019-11-18 14:11:19.831 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 4778
2019-11-18 14:11:19.841 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 4866
2019-11-18 14:11:19.848 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 4932
2019-11-18 14:11:19.856 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 4944
2019-11-18 14:11:19.863 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 4957
2019-11-18 14:11:19.871 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 4976
2019-11-18 14:11:19.878 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5017
2019-11-18 14:11:19.895 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5029
2019-11-18 14:11:19.907 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5113
2019-11-18 14:11:19.921 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5279
2019-11-18 14:11:19.940 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5287
2019-11-18 14:11:19.957 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5331
2019-11-18 14:11:19.970 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5393
2019-11-18 14:11:19.988 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5616
2019-11-18 14:11:20.000 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5683
2019-11-18 14:11:20.012 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5749
2019-11-18 14:11:20.019 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5843
2019-11-18 14:11:20.028 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5851
2019-11-18 14:11:20.034 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 5969
2019-11-18 14:11:20.041 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6044
2019-11-18 14:11:20.094 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6089
2019-11-18 14:11:20.103 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6109
2019-11-18 14:11:20.110 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6163
2019-11-18 14:11:20.116 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6225
2019-11-18 14:11:20.122 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6324
2019-11-18 14:11:20.129 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6357
2019-11-18 14:11:20.136 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6368
2019-11-18 14:11:20.142 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6494
2019-11-18 14:11:20.161 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6530
2019-11-18 14:11:20.171 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6712
2019-11-18 14:11:20.177 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6713
2019-11-18 14:11:20.186 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6723
2019-11-18 14:11:20.193 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6878
2019-11-18 14:11:20.201 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6912
2019-11-18 14:11:20.207 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6950
2019-11-18 14:11:20.214 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 6990
2019-11-18 14:11:20.220 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 7121
2019-11-18 14:11:20.227 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 7386
2019-11-18 14:11:20.233 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 7456
